DEBT AND DERIVATIVE INSTRUMENTS - Schedule of Long-term Debt (Details) - USD ($) $ in Millions,"Jan. 28, 2024","Jan. 29, 2023"
Debt Instrument [Line Items], , 
"Debt instrument, face amount",42150, 
Senior notes,40843,39908
Present value of lease liabilities,3268,3285
Total long-term debt,44111,43193
Less current installments of long-term debt,1368,1231
"Long-term debt, excluding current installments",42743,41962
2.70% Senior notes due April 2023, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.027, 
"Debt instrument, face amount",0, 
Senior notes,0,1000
3.75% Senior notes due February 2024, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0375, 
"Debt instrument, face amount",1100, 
Senior notes,1100,1099
2.70% Senior notes due April 2025, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.027, 
"Debt instrument, face amount",500, 
Senior notes,499,498
5.125% Senior notes due April 2025, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.05125, 
"Debt instrument, face amount",500, 
Senior notes,498,0
3.35% Senior notes due September 2025, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0335, 
"Debt instrument, face amount",1000, 
Senior notes,999,998
4.00% Senior notes due September 2025, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.04, 
"Debt instrument, face amount",750, 
Senior notes,749,748
3.00% Senior notes due April 2026, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.03, 
"Debt instrument, face amount",1300, 
Senior notes,1296,1295
2.125% Senior notes due September 2026, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.02125, 
"Debt instrument, face amount",1000, 
Senior notes,995,994
4.95% Senior notes due September 2026, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0495, 
"Debt instrument, face amount",750, 
Senior notes,746,0
2.875% Senior notes due April 2027, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.02875, 
"Debt instrument, face amount",750, 
Senior notes,745,744
2.50% Senior notes due April 2027, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.025, 
"Debt instrument, face amount",750, 
Senior notes,746,745
2.80% Senior notes due September 2027, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.028, 
"Debt instrument, face amount",1000, 
Senior notes,979,979
0.90% Senior notes due March 2028, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.009, 
"Debt instrument, face amount",500, 
Senior notes,497,496
1.50% Senior notes due September 2028, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.015, 
"Debt instrument, face amount",1000, 
Senior notes,994,993
3.90% Senior notes due December 2028, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.039, 
"Debt instrument, face amount",1000, 
Senior notes,970,977
4.90% Senior notes due April 2029, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.049, 
"Debt instrument, face amount",750, 
Senior notes,743,0
2.95% Senior notes due June 2029, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0295, 
"Debt instrument, face amount",1750, 
Senior notes,1665,1675
2.70% Senior notes due April 2030, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.027, 
"Debt instrument, face amount",1500, 
Senior notes,1346,1347
1.375% Senior notes due March 2031, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.01375, 
"Debt instrument, face amount",1250, 
Senior notes,1167,1170
1.875% Senior notes due September 2031, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.01875, 
"Debt instrument, face amount",1000, 
Senior notes,936,942
3.25% Senior notes due April 2032, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0325, 
"Debt instrument, face amount",1250, 
Senior notes,1239,1237
4.50% Senior notes due September 2032, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.045, 
"Debt instrument, face amount",1250, 
Senior notes,1243,1242
5.875% Senior notes due December 2036, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.05875, 
"Debt instrument, face amount",3000, 
Senior notes,2872,2874
3.30% Senior notes due April 2040, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.033, 
"Debt instrument, face amount",1250, 
Senior notes,1057,1075
5.40% Senior notes due September 2040, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.054, 
"Debt instrument, face amount",500, 
Senior notes,496,496
5.95% Senior notes due April 2041, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0595, 
"Debt instrument, face amount",1000, 
Senior notes,991,990
4.20% Senior notes due April 2043, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.042, 
"Debt instrument, face amount",1000, 
Senior notes,927,939
4.875% Senior notes due February 2044, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.04875, 
"Debt instrument, face amount",1000, 
Senior notes,982,981
4.40% Senior notes due March 2045, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.044, 
"Debt instrument, face amount",1000, 
Senior notes,980,980
4.25% Senior notes due April 2046, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0425, 
"Debt instrument, face amount",1600, 
Senior notes,1586,1586
3.90% Senior notes due June 2047, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.039, 
"Debt instrument, face amount",1150, 
Senior notes,1145,1144
4.50% Senior notes due December 2048, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.045, 
"Debt instrument, face amount",1500, 
Senior notes,1465,1464
3.125% Senior notes due December 2049, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.03125, 
"Debt instrument, face amount",1250, 
Senior notes,1173,1178
3.35% Senior notes due April 2050, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0335, 
"Debt instrument, face amount",1500, 
Senior notes,1472,1472
2.375% Senior notes due March 2051, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.02375, 
"Debt instrument, face amount",1250, 
Senior notes,1150,1156
2.75% Senior notes due September 2051, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0275, 
"Debt instrument, face amount",1000, 
Senior notes,983,983
3.625% Senior notes due April 2052, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.03625, 
"Debt instrument, face amount",1500, 
Senior notes,1458,1458
4.95% Senior notes due September 2052, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.0495, 
"Debt instrument, face amount",1000, 
Senior notes,980,980
3.50% Senior notes due September 2056, , 
Debt Instrument [Line Items], , 
"Debt instrument, interest rate (as a percent)",0.035, 
"Debt instrument, face amount",1000, 
Senior notes,974,973
