GOODWILL AND INTANGIBLE ASSETS - Schedule of Intangible Assets (Details) - USD ($) $ in Millions,"Jan. 28, 2024","Jan. 29, 2023"
Finite-Lived Intangible Assets [Line Items], , 
Accumulated Amortization,-707,-523
Total,2957, 
Total Intangible Assets,4313,3846
"Intangible Assets, Net (Excluding Goodwill), Total",3606,3323
Trade names, , 
Indefinite-lived Intangible Assets [Line Items], , 
Indefinite-lived intangible assets,649,649
Customer relationships, , 
Finite-Lived Intangible Assets [Line Items], , 
Gross Carrying Amount,3425,3034
Accumulated Amortization,-670,-495
Total,2755,2539
Trade names, , 
Finite-Lived Intangible Assets [Line Items], , 
Gross Carrying Amount,227,151
Accumulated Amortization,-25,-16
Total,202,135
Other, , 
Finite-Lived Intangible Assets [Line Items], , 
Gross Carrying Amount,12,12
Accumulated Amortization,-12,-12
Total,0,0
