PROPERTY AND LEASES - Schedule of Future Minimum Lease Payments Under Operating and Finance Leases (Details) - USD ($) $ in Millions,"Jan. 28, 2024","Jan. 29, 2023"
Operating Leases, , 
Fiscal 2024,1325, 
Fiscal 2025,1342, 
Fiscal 2026,1191, 
Fiscal 2027,1041, 
Fiscal 2028,884, 
Thereafter,4288, 
Total lease payments,10071, 
Less: imputed interest,1939, 
Present value of lease liabilities,8132, 
Finance Leases, , 
Fiscal 2024,381, 
Fiscal 2025,456, 
Fiscal 2026,347, 
Fiscal 2027,323, 
Fiscal 2028,287, 
Thereafter,2251, 
Total lease payments,4045, 
Less: imputed interest,777, 
Present value of lease liabilities,3268,3285
Leases that have not yet commenced,450, 
