SEGMENT REPORTING AND NET SALES - Schedule of Net Sales by Major Product Line (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Revenue from External Customer [Line Items], , , 
Net Sales,152669,157403,151157
Building Materials, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,57039,59533,54990
Décor, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,50295,52322,50437
Hardlines, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,45335,45548,45730
