SEGMENT REPORTING AND NET SALES - Revenue from External Customers by Products and Services (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Revenue from External Customer [Line Items], , , 
Net Sales,152669,157403,151157
% of Net Sales,1,1,1
Appliances, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,13863,14461,14232
% of Net Sales,0.091,0.092,0.094
Building Materials, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,11975,11298,9823
% of Net Sales,0.078,0.072,0.065
Décor/Storage, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,6012,6357,6095
% of Net Sales,0.039,0.04,0.04
Electrical/Lighting, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,12521,13746,13473
% of Net Sales,0.082,0.087,0.089
Flooring, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,8754,9222,9225
% of Net Sales,0.057,0.059,0.061
Hardware, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,8147,8104,7873
% of Net Sales,0.053,0.051,0.052
Indoor Garden, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,14743,14990,15546
% of Net Sales,0.097,0.095,0.103
Kitchen and Bath, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,10593,11102,10432
% of Net Sales,0.069,0.071,0.069
Lumber, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,11731,13460,13344
% of Net Sales,0.077,0.086,0.088
Millwork, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,8301,8423,7412
% of Net Sales,0.054,0.054,0.049
Outdoor Garden, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,10278,10078,10317
% of Net Sales,0.067,0.064,0.068
Paint, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,11073,11180,10453
% of Net Sales,0.073,0.071,0.069
Plumbing, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,12511,12606,10938
% of Net Sales,0.082,0.08,0.072
Tools, , , 
Revenue from External Customer [Line Items], , , 
Net Sales,12167,12376,11994
% of Net Sales,0.08,0.079,0.079
