"STOCK-BASED COMPENSATION - Restricted Stock and Performance Shares (Details) - USD ($) $ / shares in Units, shares in Thousands, $ in Millions",12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Number of Shares, , , 
"Number of shares, beginning balance (in shares)",3359, , 
Granted (in shares),1692, , 
Vested (in shares),-1429, , 
Forfeited (in shares),-236, , 
"Number of shares, ending balance (in shares)",3386,3359, 
Weighted Average Grant Date Fair Value, , , 
"Weighted average grant date fair value, beginning balance (in dollars per share)",261.66, , 
"Weighted average grant date fair value, granted (in dollars per share)",273.63, , 
"Weighted average grant date fair value, vested (in dollars per share)",231.72, , 
"Weighted average grant date fair value, forfeited (in dollars per share)",277.2, , 
"Weighted average grant date fair value, ending balance (in dollars per share)",279.19,261.66, 
Total fair value vested,412,479,405
