SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES - Components of Receivables (Details) - USD ($) $ in Millions,"Jan. 28, 2024","Jan. 29, 2023"
"Accounts, Notes, Loans and Financing Receivable [Line Items]", , 
"Receivables, net",3328,3317
Card receivables, , 
"Accounts, Notes, Loans and Financing Receivable [Line Items]", , 
"Receivables, net",988,1003
Rebate receivables, , 
"Accounts, Notes, Loans and Financing Receivable [Line Items]", , 
"Receivables, net",841,948
Customer receivables, , 
"Accounts, Notes, Loans and Financing Receivable [Line Items]", , 
"Receivables, net",924,871
Other receivables, , 
"Accounts, Notes, Loans and Financing Receivable [Line Items]", , 
"Receivables, net",575,495
