SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES - Narrative (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Accounting Policies [Line Items], , , 
Percentage of merchandise inventories that are calculated using a cost method,0.38, , 
Option to extend (in years),5 years, , 
"Goodwill, Impairment Loss",0,0,0
Impairment of intangible assets,0,0,0
"Supplier Finance Program, Obligation, Statement of Financial Position [Extensible Enumeration]",Accounts payable,Accounts payable, 
Supplier finance program,514,480, 
Self insurance reserve,1400,1300, 
Deferred revenue,1700,2000, 
General redemption period,6 months, , 
Gift card performance obligations,1100,1100, 
"Advertising expense, net",1100,1100,1000
Recognized income tax positions are measured at the largest amount exceeding a probability of,0.5, , 
Beginning balance of foreign currency translation adjustment,365,597, 
Minimum, , , 
Accounting Policies [Line Items], , , 
Term of contract (in years),1 year, , 
Payment timing period,30 days, , 
Minimum | Software and Software Development Costs, , , 
Accounting Policies [Line Items], , , 
"Property plant and equipment, useful life (in years)",3 years, , 
Maximum, , , 
Accounting Policies [Line Items], , , 
Term of contract (in years),20 years, , 
Payment timing period,60 days, , 
Maximum | Other Intangible Assets, , , 
Accounting Policies [Line Items], , , 
"Intangible asset, useful life (in years)",20 years, , 
Maximum | Software and Software Development Costs, , , 
Accounting Policies [Line Items], , , 
"Property plant and equipment, useful life (in years)",7 years, , 
